BBZ,3970,121
AZN,570,31
ZBB,340,15
AAA,310,5
DAD,240,7
AAA,220,8
AAA,220,12
AZZ,210,12
AAA,170,7
LGL,130,8
ABC,130,7
AAA,110,8
BAA,100,5
